Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,Industry,Summary Quote
FB,,,,,,,,
PANW,,,,,,,,
MU,,,,,,,,
AAPL,,,,,,,,
GOOG,,,,,,,,
TWTR,,,,,,,,
ASDDA,,,,,,,,
