Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,Industry,Summary Quote
WSCI,WSI Industries Inc.,3.1255,9251292.47,n/a,n/a,Technology,Industrial Machinery/Components,http://www.nasdaq.com/symbol/wsci
XLNX,"Xilinx, Inc.",69.54,17451264040.14,n/a,1990,Technology,Semiconductors,http://www.nasdaq.com/symbol/xlnx
XPER,Xperi Corporation,19.275,950533749.3,n/a,n/a,Technology,Semiconductors,http://www.nasdaq.com/symbol/xper
XPLR,Xplore Technologies Corp,2.97,32732087.85,n/a,n/a,Technology,Computer Manufacturing,http://www.nasdaq.com/symbol/xplr
XNET,Xunlei Limited,13.58,422333016.14,31099633,2014,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/xnet
YNDX,Yandex N.V.,33.17,10805983319.17,n/a,2011,Technology,"Computer Software: Programming, Data Processing",http://www.nasdaq.com/symbol/yndx
YY,YY Inc.,103.08,4847074558.32,47022454,2012,Technology,EDP Services,http://www.nasdaq.com/symbol/yy
ZBRA,Zebra Technologies Corporation,110.4,5872077081.6,n/a,1991,Technology,Industrial Machinery/Components,http://www.nasdaq.com/symbol/zbra
ZIXI,Zix Corporation,4.4,245299049.6,n/a,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/zixi
ZNGA,Zynga Inc.,4.1,3569229772.7,n/a,2011,Technology,EDP Services,http://www.nasdaq.com/symbol/znga
